Call Type,Incident Number,Call Final Disposition,Neighborhooods - Analysis Boundaries
Medical Incident,88,Fire,Nob Hill
Traffic Collision,2,Fire,Lone Mountain/USF
Medical Incident,17,Other,Portola
Elevator / Escalator Rescue,2,Patient Declined Transport,Bernal Heights
Electrical Hazard,1,No Merit,Nob Hill
Elevator / Escalator Rescue,5,No Merit,Pacific Heights
Other,10,SFPD,Bayview Hunters Point
Medical Incident,82,Cancelled,Haight Ashbury
Medical Incident,245,Code 3 Transport,Oceanview/Merced/Ingleside
Medical Incident,2,Against Medical Advice,None
Citizen Assist / Service Call,3,Other,Sunset/Parkside
Water Rescue,13,No Merit,Mission Bay
Other,1,Unable to Locate,Marina
Alarms,13,No Merit,South of Market
Outside Fire,12,No Merit,Tenderloin
Smoke Investigation (Outside),10,Cancelled,Mission
Vehicle Fire,10,Fire,Marina
Water Rescue,59,Fire,Lincoln Park
Traffic Collision,58,Patient Declined Transport,Treasure Island
Traffic Collision,8,Fire,South of Market
Other,7,Cancelled,North Beach
Other,5,SFPD,Noe Valley
Assist Police,2,Fire,Sunset/Parkside
Alarms,3,Other,North Beach
Gas Leak (Natural and LP Gases),3,Fire,Lincoln Park
Medical Incident,5,Gone on Arrival,Presidio Heights
Other,2,No Merit,Outer Richmond
Other,5,Cancelled,Glen Park
Explosion,6,No Merit,Mission Bay
Traffic Collision,8,No Merit,Russian Hill
Medical Incident,244,Other,Mission
Other,6,No Merit,Castro/Upper Market
Alarms,771,Fire,Russian Hill
Traffic Collision,145,Patient Declined Transport,Bayview Hunters Point
Other,12,Code 2 Transport,Excelsior
Medical Incident,291,Medical Examiner,Mission
Electrical Hazard,2,No Merit,Sunset/Parkside
Structure Fire,845,Fire,Outer Richmond
Citizen Assist / Service Call,45,Fire,Portola
Elevator / Escalator Rescue,10,Fire,Japantown
Elevator / Escalator Rescue,2,Cancelled,Bayview Hunters Point
Medical Incident,1633,Code 2 Transport,Inner Richmond
Medical Incident,110,Fire,Sunset/Parkside
Traffic Collision,5,Cancelled,Golden Gate Park
Structure Fire,635,Fire,Castro/Upper Market
Medical Incident,25,Unable to Locate,Treasure Island
Medical Incident,1189,Cancelled,Tenderloin
Other,6,Against Medical Advice,Pacific Heights
Medical Incident,180,Unable to Locate,Bayview Hunters Point
Citizen Assist / Service Call,144,Fire,West of Twin Peaks
Medical Incident,21,SFPD,Marina
Structure Fire,18,Code 2 Transport,Nob Hill
Outside Fire,1,Unable to Locate,Pacific Heights
Traffic Collision,6,Unable to Locate,Chinatown
Medical Incident,15,Gone on Arrival,Marina
Medical Incident,24,Unable to Locate,Noe Valley
Outside Fire,1,SFPD,None
Industrial Accidents,6,Code 3 Transport,Bayview Hunters Point
Water Rescue,5,Medical Examiner,Marina
Medical Incident,37,Medical Examiner,Portola
Outside Fire,1,Other,Visitacion Valley
Traffic Collision,30,Cancelled,Bernal Heights
Citizen Assist / Service Call,211,Fire,Mission
Other,2,No Merit,Inner Richmond
Vehicle Fire,8,Fire,Presidio Heights
Elevator / Escalator Rescue,6,Patient Declined Transport,Financial District/South Beach
Alarms,231,Fire,Outer Mission
Citizen Assist / Service Call,3,Against Medical Advice,Chinatown
Traffic Collision,13,No Merit,Outer Mission
Medical Incident,108,Medical Examiner,West of Twin Peaks
Traffic Collision,13,Unable to Locate,Potrero Hill
Elevator / Escalator Rescue,35,Fire,Hayes Valley
Citizen Assist / Service Call,1,No Merit,Bernal Heights
Traffic Collision,2,SFPD,Chinatown
Smoke Investigation (Outside),6,No Merit,South of Market
Alarms,3,Cancelled,Mission
Medical Incident,15,SFPD,Noe Valley
Medical Incident,49,Gone on Arrival,Bayview Hunters Point
Fuel Spill,9,Fire,Outer Mission
Medical Incident,135,Code 3 Transport,Mission Bay
Citizen Assist / Service Call,2,Patient Declined Transport,Pacific Heights
Gas Leak (Natural and LP Gases),1,Unable to Locate,Mission
Traffic Collision,21,Patient Declined Transport,Presidio Heights
Medical Incident,148,Cancelled,North Beach
Water Rescue,26,Code 2 Transport,Mission Bay
Elevator / Escalator Rescue,8,Fire,Inner Sunset
Confined Space / Structure Collapse,7,Other,Sunset/Parkside
Odor (Strange / Unknown),4,Fire,Castro/Upper Market
Other,12,Other,Mission
Citizen Assist / Service Call,1,Cancelled,Outer Mission
Electrical Hazard,165,Fire,Outer Richmond
Medical Incident,623,No Merit,Castro/Upper Market
Structure Fire,4,No Merit,Sunset/Parkside
Medical Incident,7,Against Medical Advice,Seacliff
Medical Incident,3246,Code 2 Transport,Excelsior
Smoke Investigation (Outside),37,Fire,Russian Hill
Odor (Strange / Unknown),8,Fire,Outer Richmond
Medical Incident,287,No Merit,Outer Richmond
Electrical Hazard,37,Fire,Castro/Upper Market
Medical Incident,13,Against Medical Advice,McLaren Park
Confined Space / Structure Collapse,7,Code 2 Transport,Bernal Heights
Medical Incident,3,Gone on Arrival,Treasure Island
Fuel Spill,2,Against Medical Advice,Oceanview/Merced/Ingleside
Medical Incident,24,Cancelled,Glen Park
HazMat,3,Fire,Chinatown
Other,6,Code 2 Transport,Outer Richmond
Citizen Assist / Service Call,1,No Merit,Golden Gate Park
Other,1,SFPD,Presidio Heights
Traffic Collision,110,Code 2 Transport,Russian Hill
Medical Incident,4,SFPD,Treasure Island
Other,23,Code 2 Transport,Castro/Upper Market
Structure Fire,10,Other,Western Addition
Other,2,Other,West of Twin Peaks
Gas Leak (Natural and LP Gases),1,Unable to Locate,West of Twin Peaks
Medical Incident,8,Gone on Arrival,Noe Valley
Medical Incident,97,SFPD,Bayview Hunters Point
Outside Fire,2,Code 2 Transport,Tenderloin
Alarms,8,Code 2 Transport,South of Market
Other,4,Cancelled,Haight Ashbury
Citizen Assist / Service Call,26,Code 2 Transport,Western Addition
Medical Incident,33,Unable to Locate,Marina
Other,78,Fire,Nob Hill
Other,1,Other,Portola
Traffic Collision,13,Fire,Visitacion Valley
Alarms,3,No Merit,Visitacion Valley
Fuel Spill,8,Fire,Russian Hill
Vehicle Fire,152,Fire,Bayview Hunters Point
Traffic Collision,21,Cancelled,Western Addition
Train / Rail Incident,7,Medical Examiner,Mission
Other,1,Unable to Locate,Noe Valley
Structure Fire,13,No Merit,Nob Hill
Electrical Hazard,63,Fire,Inner Richmond
Medical Incident,152,No Merit,Inner Richmond
Traffic Collision,38,Patient Declined Transport,Marina
Traffic Collision,7,Code 3 Transport,Japantown
Structure Fire,471,Fire,Excelsior
Smoke Investigation (Outside),4,Fire,Outer Mission
Odor (Strange / Unknown),3,Fire,Inner Richmond
Vehicle Fire,42,Fire,Treasure Island
Confined Space / Structure Collapse,6,Fire,West of Twin Peaks
Medical Incident,20,Unable to Locate,Presidio Heights
Other,7,Code 2 Transport,Inner Richmond
Other,106,Fire,Sunset/Parkside
Traffic Collision,8,Code 3 Transport,Hayes Valley
Outside Fire,3,No Merit,North Beach
Other,31,Cancelled,Tenderloin
Other,4,Medical Examiner,Mission
Outside Fire,19,Fire,Presidio
Citizen Assist / Service Call,2,No Merit,Financial District/South Beach
Traffic Collision,219,Code 2 Transport,Outer Mission
Vehicle Fire,9,Fire,Noe Valley
Outside Fire,2,Cancelled,Outer Richmond
Outside Fire,1,Other,South of Market
Outside Fire,1,No Merit,Glen Park
Alarms,18,Other,Tenderloin
Water Rescue,25,Patient Declined Transport,Presidio
Water Rescue,13,Other,Bayview Hunters Point
Outside Fire,1,Cancelled,Castro/Upper Market
Medical Incident,72,Against Medical Advice,Pacific Heights
Other,3,Unable to Locate,Bayview Hunters Point
Traffic Collision,13,Against Medical Advice,Portola
Other,4,SFPD,Nob Hill
Elevator / Escalator Rescue,181,Fire,Tenderloin
Electrical Hazard,1,No Merit,Bayview Hunters Point
Traffic Collision,4,SFPD,Visitacion Valley
Gas Leak (Natural and LP Gases),4,Code 2 Transport,Western Addition
Medical Incident,106,Fire,Bayview Hunters Point
Medical Incident,43,Cancelled,Japantown
Odor (Strange / Unknown),6,No Merit,Treasure Island
Fuel Spill,2,Patient Declined Transport,Inner Richmond
Other,25,Fire,Presidio Heights
Traffic Collision,34,Against Medical Advice,West of Twin Peaks
Medical Incident,66,Unable to Locate,Sunset/Parkside
Medical Incident,1718,Patient Declined Transport,South of Market
Medical Incident,23,Fire,Treasure Island
Medical Incident,496,Code 3 Transport,Western Addition
Citizen Assist / Service Call,7,No Merit,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,8,Code 2 Transport,Mission Bay
Other,1,Patient Declined Transport,Visitacion Valley
Traffic Collision,2,Fire,Potrero Hill
Medical Incident,193,Patient Declined Transport,Lone Mountain/USF
Traffic Collision,69,Patient Declined Transport,Nob Hill
Elevator / Escalator Rescue,1,Unable to Locate,Hayes Valley
HazMat,3,Fire,Visitacion Valley
Traffic Collision,82,Against Medical Advice,Mission
Medical Incident,37,Against Medical Advice,Presidio
Electrical Hazard,1,No Merit,Noe Valley
Other,1,Gone on Arrival,Nob Hill
Medical Incident,1,Duplicate,Outer Richmond
Gas Leak (Natural and LP Gases),4,Patient Declined Transport,Pacific Heights
Other,9,Code 3 Transport,Golden Gate Park
Structure Fire,12,No Merit,Marina
Medical Incident,170,Cancelled,Hayes Valley
Medical Incident,1,Duplicate,Castro/Upper Market
Medical Incident,38,Fire,Noe Valley
Structure Fire,12,Against Medical Advice,Tenderloin
Alarms,6,No Merit,Chinatown
Outside Fire,34,Fire,Pacific Heights
Traffic Collision,10,Fire,Chinatown
Gas Leak (Natural and LP Gases),5,No Merit,Bernal Heights
Structure Fire,31,Code 2 Transport,Bayview Hunters Point
Other,66,Fire,Marina
Vehicle Fire,3,Cancelled,North Beach
Traffic Collision,4,No Merit,Twin Peaks
Traffic Collision,2,Code 3 Transport,Glen Park
Water Rescue,7,Patient Declined Transport,Seacliff
Medical Incident,144,Unable to Locate,Nob Hill
Traffic Collision,5,Unable to Locate,Lone Mountain/USF
Alarms,350,Fire,Twin Peaks
Electrical Hazard,1,Fire,Lakeshore
Outside Fire,18,Fire,Seacliff
Medical Incident,10,CHP,Financial District/South Beach
Elevator / Escalator Rescue,1,Fire,Haight Ashbury
Vehicle Fire,2,No Merit,Outer Richmond
Citizen Assist / Service Call,2,Against Medical Advice,Lone Mountain/USF
Elevator / Escalator Rescue,3,Cancelled,Nob Hill
Outside Fire,41,Fire,McLaren Park
Medical Incident,109,No Merit,Lakeshore
Citizen Assist / Service Call,3,Other,Bayview Hunters Point
Traffic Collision,7,Code 3 Transport,North Beach
Outside Fire,4,No Merit,Hayes Valley
Other,1,SFPD,Sunset/Parkside
Train / Rail Incident,14,Code 3 Transport,Financial District/South Beach
Vehicle Fire,6,No Merit,Castro/Upper Market
Traffic Collision,6,Cancelled,Mission Bay
Vehicle Fire,4,Code 2 Transport,Excelsior
Odor (Strange / Unknown),1,Fire,Lakeshore
Other,3,Code 2 Transport,Lakeshore
Outside Fire,1,No Merit,Japantown
Assist Police,1,Fire,Bayview Hunters Point
Other,2,Cancelled,Inner Sunset
Traffic Collision,62,Unable to Locate,South of Market
Water Rescue,14,Cancelled,Russian Hill
Traffic Collision,83,Patient Declined Transport,Sunset/Parkside
